FID	IID	family
SH01170	SH01170	GS1-001
SH01171	SH01171	GS1-001
SH01172	SH01172	GS1-001
SH01173	SH01173	GS1-001
SH01174	SH01174	GS1-001
SH01175	SH01175	GS1-001
SH01176	SH01176	GS1-001
SH01178	SH01178	GS1-001
SH01179	SH01179	GS1-001
SH01180	SH01180	GS1-001
SH01181	SH01181	GS1-001
SH01182	SH01182	GS1-001
SH01183	SH01183	GS1-001
SH01184	SH01184	GS1-001
SH01185	SH01185	GS1-001
SH01186	SH01186	GS1-001
SH01187	SH01187	GS1-001
SH01189	SH01189	GS1-001
SH01190	SH01190	GS1-001
SH01191	SH01191	GS1-001
SH01192	SH01192	GS1-001
SH01193	SH01193	GS1-001
SH01194	SH01194	GS1-001
SH01195	SH01195	GS1-001
SH01196	SH01196	GS1-001
SH01197	SH01197	GS1-001
SH01198	SH01198	GS1-001
SH01199	SH01199	GS1-001
SH01200	SH01200	GS1-001
SH01201	SH01201	GS1-001
SH01202	SH01202	GS1-001
SH01203	SH01203	GS1-001
SH01204	SH01204	GS1-001
SH01205	SH01205	GS1-001
SH01206	SH01206	GS1-001
SH01208	SH01208	GS1-001
SH01209	SH01209	GS1-001
SH01210	SH01210	GS1-001
SH01211	SH01211	GS1-001
SH01212	SH01212	GS1-001
SH01213	SH01213	GS1-002
SH01217	SH01217	GS1-002
SH01219	SH01219	GS1-002
SH01222	SH01222	GS1-002
SH01223	SH01223	GS1-002
SH01224	SH01224	GS1-002
SH01225	SH01225	GS1-002
SH01226	SH01226	GS1-002
SH01227	SH01227	GS1-002
SH01228	SH01228	GS1-022
SH01229	SH01229	GS1-002
SH01230	SH01230	GS1-002
SH01231	SH01231	GS1-002
SH01232	SH01232	GS1-002
SH01233	SH01233	GS1-002
SH01234	SH01234	GS1-002
SH01235	SH01235	GS1-002
SH01236	SH01236	GS1-002
SH01237	SH01237	GS1-002
SH01238	SH01238	GS1-002
SH01239	SH01239	GS1-002
SH01240	SH01240	GS1-002
SH01241	SH01241	GS1-002
SH01242	SH01242	GS1-002
SH01243	SH01243	GS1-002
SH01244	SH01244	GS1-002
SH01245	SH01245	GS1-002
SH01246	SH01246	GS1-002
SH01247	SH01247	GS1-002
SH01248	SH01248	GS1-002
SH01249	SH01249	GS1-002
SH01250	SH01250	GS1-002
SH01251	SH01251	GS1-002
SH01252	SH01252	GS1-002
SH01253	SH01253	GS1-002
SH01254	SH01254	GS1-002
SH01255	SH01255	GS1-002
SH01257	SH01257	GS1-002
SH01258	SH01258	GS1-002
SH01259	SH01259	GS1-002
SH01262	SH01262	GS1-002
SH01264	SH01264	GS1-002
SH01265	SH01265	GS1-002
SH01266	SH01266	GS1-002
SH01267	SH01267	GS1-002
SH01268	SH01268	GS1-002
SH01269	SH01269	GS1-002
SH01270	SH01270	GS1-002
SH01272	SH01272	GS1-002
SH01273	SH01273	GS1-002
SH01274	SH01274	GS1-002
SH01275	SH01275	GS1-002
SH01276	SH01276	GS1-002
SH01277	SH01277	GS1-002
SH01278	SH01278	GS1-002
SH01279	SH01279	GS1-002
SH01280	SH01280	GS1-002
SH01281	SH01281	GS1-002
SH01282	SH01282	GS1-002
SH01283	SH01283	GS1-002
SH01284	SH01284	GS1-002
SH01285	SH01285	GS1-002
SH01286	SH01286	GS1-002
SH01288	SH01288	GS1-002
SH01289	SH01289	GS1-002
SH01290	SH01290	GS1-002
SH01291	SH01291	GS1-002
SH01292	SH01292	GS1-002
SH01293	SH01293	GS1-002
SH01294	SH01294	GS1-002
SH01295	SH01295	GS1-002
SH01296	SH01296	GS1-002
SH01297	SH01297	GS1-002
SH01298	SH01298	GS1-002
SH01299	SH01299	GS1-002
SH01300	SH01300	GS1-002
SH01301	SH01301	GS1-002
SH01302	SH01302	GS1-002
SH01303	SH01303	GS1-002
SH01304	SH01304	GS1-002
SH01305	SH01305	GS1-002
SH01306	SH01306	GS1-002
SH01307	SH01307	GS1-002
SH01308	SH01308	GS1-002
SH01309	SH01309	GS1-002
SH01311	SH01311	GS1-002
SH01312	SH01312	GS1-002
SH01313	SH01313	GS1-002
SH01315	SH01315	GS1-002
SH01316	SH01316	GS1-002
SH01317	SH01317	GS1-002
SH01318	SH01318	GS1-074
SH01319	SH01319	GS1-002
SH01320	SH01320	GS1-002
SH01321	SH01321	GS1-002
SH01322	SH01322	GS1-002
SH01323	SH01323	GS1-002
SH01324	SH01324	GS1-002
SH01325	SH01325	GS1-002
SH01326	SH01326	GS1-002
SH01327	SH01327	GS1-002
SH01328	SH01328	GS1-002
SH01329	SH01329	GS1-002
SH01331	SH01331	GS1-002
SH01332	SH01332	GS1-002
SH01333	SH01333	GS1-002
SH01334	SH01334	GS1-002
SH01335	SH01335	GS1-002
SH01336	SH01336	GS1-002
SH01337	SH01337	GS1-002
SH01338	SH01338	GS1-002
SH01339	SH01339	GS1-002
SH01340	SH01340	GS1-002
SH01341	SH01341	GS1-002
SH01342	SH01342	GS1-002
SH01343	SH01343	GS1-002
SH01344	SH01344	GS1-002
SH01345	SH01345	GS1-002
SH01346	SH01346	GS1-002
SH01347	SH01347	GS1-002
SH01348	SH01348	GS1-002
SH01349	SH01349	GS1-002
SH01350	SH01350	GS1-002
SH01351	SH01351	GS1-002
SH01357	SH01357	GS1-003
SH01358	SH01358	GS1-003
SH01360	SH01360	GS1-003
SH01362	SH01362	GS1-003
SH01363	SH01363	GS1-003
SH01365	SH01365	GS1-003
SH01366	SH01366	GS1-003
SH01367	SH01367	GS1-003
SH01368	SH01368	GS1-003
SH01369	SH01369	GS1-003
SH01370	SH01370	GS1-003
SH01372	SH01372	GS1-003
SH01373	SH01373	GS1-003
SH01374	SH01374	GS1-003
SH01375	SH01375	GS1-003
SH01376	SH01376	GS1-003
SH01377	SH01377	GS1-003
SH01378	SH01378	GS1-003
SH01379	SH01379	GS1-003
SH01380	SH01380	GS1-003
SH01381	SH01381	GS1-003
SH01382	SH01382	GS1-003
SH01383	SH01383	GS1-003
SH01384	SH01384	GS1-003
SH01385	SH01385	GS1-003
SH01387	SH01387	GS1-003
SH01388	SH01388	GS1-003
SH01389	SH01389	GS1-003
SH01390	SH01390	GS1-003
SH01391	SH01391	GS1-003
SH01392	SH01392	GS1-003
SH01393	SH01393	GS1-003
SH01394	SH01394	GS1-003
SH01395	SH01395	GS1-003
SH01398	SH01398	GS1-003
SH01399	SH01399	GS1-003
SH01402	SH01402	GS1-003
SH01404	SH01404	GS1-003
SH01405	SH01405	GS1-003
SH01406	SH01406	GS1-003
SH01407	SH01407	GS1-003
SH01409	SH01409	GS1-003
SH01410	SH01410	GS1-003
SH01413	SH01413	GS1-003
SH01414	SH01414	GS1-003
SH01415	SH01415	GS1-003
SH01417	SH01417	GS1-003
SH01418	SH01418	GS1-003
SH01420	SH01420	GS1-003
SH01421	SH01421	GS1-003
SH01422	SH01422	GS1-003
SH01426	SH01426	GS1-003
SH01427	SH01427	GS1-003
SH01429	SH01429	GS1-003
SH01430	SH01430	GS1-003
SH01431	SH01431	GS1-003
SH01432	SH01432	GS1-003
SH01433	SH01433	GS1-003
SH01434	SH01434	GS1-003
SH01435	SH01435	GS1-003
SH01438	SH01438	GS1-003
SH01439	SH01439	GS1-003
SH01440	SH01440	GS1-003
SH01443	SH01443	GS1-003
SH01444	SH01444	GS1-003
SH01446	SH01446	GS1-003
SH01447	SH01447	GS1-003
SH01448	SH01448	GS1-003
SH01451	SH01451	GS1-003
SH01455	SH01455	GS1-003
SH01456	SH01456	GS1-003
SH01458	SH01458	GS1-003
SH01459	SH01459	GS1-003
SH01460	SH01460	GS1-003
SH01461	SH01461	GS1-003
SH01462	SH01462	GS1-003
SH01463	SH01463	GS1-003
SH01464	SH01464	GS1-003
SH01465	SH01465	GS1-003
SH01466	SH01466	GS1-003
SH01467	SH01467	GS1-003
SH01470	SH01470	GS1-003
SH01471	SH01471	GS1-003
SH01472	SH01472	GS1-003
SH01474	SH01474	GS1-003
SH01475	SH01475	GS1-003
SH01477	SH01477	GS1-003
SH01478	SH01478	GS1-003
SH01481	SH01481	GS1-003
SH01482	SH01482	GS1-004
SH01483	SH01483	GS1-003
SH01484	SH01484	GS1-012
SH01485	SH01485	GS1-003
SH01487	SH01487	GS1-003
